,index,Filename,Style,Theme,Time,Train,Weight
14407,14407,smb1_ice_night\zXXtMhjoOCU_5_0031.jpg,smb1,ice,night,True,0.8370604270092479
21327,21327,menu\ZtVdrcXYDzQ_0_0121.jpg,menu,,,True,1.3228280864947417
28689,28689,smb3_desert_day\-mXxAMAA6-Y_7_0062.jpg,smb3,desert,day,True,0.7350127820986567
19554,19554,sm3dw_ice_day\h082aQwtlR4_7_0122.jpg,sm3dw,ice,day,True,0.47553028005024095
31497,31497,smw_grass_night\ZtVdrcXYDzQ_6_0041.jpg,smw,grass,night,False,1.0
33419,33419,nsmb_underground_day\yrh5IKPiNZs_7_0015.jpg,nsmb,underground,day,False,1.0
34842,34842,smb1_underground_day\0ZI1hJ2Kalo_11_0013.jpg,smb1,underground,day,False,1.0
29557,29557,smb3_jungle_night\yrh5IKPiNZs_18_0342.jpg,smb3,jungle,night,False,1.0
26755,26755,smb3_jungle_day\-mXxAMAA6-Y_0_0148.jpg,smb3,jungle,day,True,1.6899972093628004
15213,15213,smb1_underwater_day\ZtVdrcXYDzQ_12_0177.jpg,smb1,underwater,day,True,0.7414995901944197
21338,21338,menu\ZtVdrcXYDzQ_0_0132.jpg,menu,,,True,1.3228280864947417
31707,31707,menu\QmVPmh10FVE_10_0156.jpg,menu,,,False,1.0
15157,15157,smb1_underwater_day\ZtVdrcXYDzQ_12_0121.jpg,smb1,underwater,day,True,0.7414995901944197
17106,17106,smw_jungle_night\8y54Wlsyte8_12_0184.jpg,smw,jungle,night,True,0.6121846275543262
34873,34873,smb1_underground_day\0ZI1hJ2Kalo_11_0044.jpg,smb1,underground,day,False,1.0
2740,2740,smw_castle_day\YuVG3cVdCEA_8_0020.jpg,smw,castle,day,True,0.7247328914670338
23311,23311,smb1_sky_day\-mXxAMAA6-Y_10_0037.jpg,smb1,sky,day,True,1.2518984747782453
13177,13177,smb1_grass_night\sibl3_fJTds_2_0127.jpg,smb1,grass,night,True,0.7662255921126964
29967,29967,nsmb_jungle_night\sibl3_fJTds_21_0092.jpg,nsmb,jungle,night,False,1.0
8635,8635,smb3_ghosthouse_night\-mXxAMAA6-Y_18_0600.jpg,smb3,ghosthouse,night,True,1.3941627436076967
